what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429643236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429643599
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1285429646561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429655853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429736661
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.generate.javadoc",1285429736674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429741544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429758575
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.generate.javadoc",1285429758586
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429763278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429772084
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.generate.javadoc",1285429772097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429776079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429901471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429907159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429935003
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.generate.javadoc",1285429935013
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285429935832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285430080063
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285430085970
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1285430086198
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1285430086260
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1285430086261
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1285430086263
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1285430086265
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1285430086266
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1285430086267
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1285430086268
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1285430086269
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1285430086269
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1285430086269
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1285430086291
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1285430086293
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1285430086299
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1285430086301
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1285430086303
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1285430086304
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1285430086305
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1285430086305
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1285430086307
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1285430086309
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1285430086309
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1285430086310
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1285430086311
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1316463424026
